gene,phase
AT5G06180,Enriched_G2M
AT5G06210,Enriched_G2M
AT5G06480,Enriched_G2M
AT5G05740,Enriched_G2M
AT5G05990,Enriched_G2M
AT5G05540,Enriched_G2M
AT5G05080,Enriched_G2M
AT5G05200,Enriched_G2M
AT5G04770,Enriched_G2M
AT5G03870,Enriched_G2M
AT5G03650,Enriched_G2M
AT5G03780,Enriched_G2M
AT5G03240,Enriched_G2M
AT5G02840,Enriched_G2M
AT5G03050,Enriched_G2M
AT5G02290,Enriched_G2M
AT5G02150,Enriched_G2M
AT5G02240,Enriched_G2M
AT5G02370,Enriched_G2M
AT5G01840,Enriched_G2M
AT5G01910,Enriched_G2M
AT5G02010,Enriched_G2M
AT5G01450,Enriched_G2M
AT5G01470,Enriched_G2M
AT3G63510,Enriched_G2M
AT5G01090,Enriched_G2M
AT3G63130,Enriched_G2M
AT3G62130,Enriched_G2M
AT3G61760,Enriched_G2M
AT3G61150,Enriched_G2M
AT3G61610,Enriched_G2M
AT3G61530,Enriched_G2M
AT3G61430,Enriched_G2M
AT3G60690,Enriched_G2M
AT3G60640,Enriched_G2M
AT3G60900,Enriched_G2M
AT3G60590,Enriched_G2M
AT3G60300,Enriched_G2M
AT3G59670,Enriched_G2M
AT3G59490,Enriched_G2M
AT3G59040,Enriched_G2M
AT3G59430,Enriched_G2M
AT3G58650,Enriched_G2M
AT3G58470,Enriched_G2M
AT3G58710,Enriched_G2M
AT3G57810,Enriched_G2M
AT3G57880,Enriched_G2M
AT3G58100,Enriched_G2M
AT3G57860,Enriched_G2M
AT3G57930,Enriched_G2M
AT3G57950,Enriched_G2M
AT3G57530,Enriched_G2M
AT3G57450,Enriched_G2M
AT3G57160,Enriched_G2M
AT3G57060,Enriched_G2M
AT3G56360,Enriched_G2M
AT3G56120,Enriched_G2M
AT3G56100,Enriched_G2M
AT3G56330,Enriched_G2M
AT3G56240,Enriched_G2M
AT3G55690,Enriched_G2M
AT3G55660,Enriched_G2M
AT3G55390,Enriched_G2M
AT3G54970,Enriched_G2M
AT3G55050,Enriched_G2M
AT3G55060,Enriched_G2M
AT3G55080,Enriched_G2M
AT3G54630,Enriched_G2M
AT3G53940,Enriched_G2M
AT3G53540,Enriched_G2M
AT3G53420,Enriched_G2M
AT3G53320,Enriched_G2M
AT3G52610,Enriched_G2M
AT3G52800,Enriched_G2M
AT3G52950,Enriched_G2M
AT3G52920,Enriched_G2M
AT3G52060,Enriched_G2M
AT3G52470,Enriched_G2M
AT3G51750,Enriched_G2M
AT3G51720,Enriched_G2M
AT3G51740,Enriched_G2M
AT3G52110,Enriched_G2M
AT3G51530,Enriched_G2M
AT3G50790,Enriched_G2M
AT3G51270,Enriched_G2M
AT3G51280,Enriched_G2M
AT3G51290,Enriched_G2M
AT3G50700,Enriched_G2M
AT3G50340,Enriched_G2M
AT3G49940,Enriched_G2M
AT3G49990,Enriched_G2M
AT3G49250,Enriched_G2M
AT3G49320,Enriched_G2M
AT3G49240,Enriched_G2M
AT3G48700,Enriched_G2M
AT3G48210,Enriched_G2M
AT3G48070,Enriched_G2M
AT3G48040,Enriched_G2M
AT3G47460,Enriched_G2M
AT3G47490,Enriched_G2M
AT3G47550,Enriched_G2M
AT3G47470,Enriched_G2M
AT3G47000,Enriched_G2M
AT3G47010,Enriched_G2M
AT3G46620,Enriched_G2M
AT3G46210,Enriched_G2M
AT3G45770,Enriched_G2M
AT3G46020,Enriched_G2M
AT3G45050,Enriched_G2M
AT3G45310,Enriched_G2M
AT3G44735,Enriched_G2M
AT3G44050,Enriched_G2M
AT3G43700,Enriched_G2M
AT3G43920,Enriched_G2M
AT3G43210,Enriched_G2M
AT3G42860,Enriched_G2M
AT4G39955,Enriched_G2M
AT4G40000,Enriched_G2M
AT4G39630,Enriched_G2M
AT4G38960,Enriched_G2M
AT4G38380,Enriched_G2M
AT4G38440,Enriched_G2M
AT4G38470,Enriched_G2M
AT4G38540,Enriched_G2M
AT4G37870,Enriched_G2M
AT4G37450,Enriched_G2M
AT4G37490,Enriched_G2M
AT4G36180,Enriched_G2M
AT4G35560,Enriched_G2M
AT4G35620,Enriched_G2M
AT4G35730,Enriched_G2M
AT4G35750,Enriched_G2M
AT4G34350,Enriched_G2M
AT4G34240,Enriched_G2M
AT4G34500,Enriched_G2M
AT4G34730,Enriched_G2M
AT4G34360,Enriched_G2M
AT4G34000,Enriched_G2M
AT4G34150,Enriched_G2M
AT4G33940,Enriched_G2M
AT4G33400,Enriched_G2M
AT4G32940,Enriched_G2M
AT4G33200,Enriched_G2M
AT4G32870,Enriched_G2M
AT4G32830,Enriched_G2M
AT4G32420,Enriched_G2M
AT4G32520,Enriched_G2M
AT4G32050,Enriched_G2M
AT4G32320,Enriched_G2M
AT4G32350,Enriched_G2M
AT4G31840,Enriched_G2M
AT4G31290,Enriched_G2M
AT4G30950,Enriched_G2M
AT4G31120,Enriched_G2M
AT4G31250,Enriched_G2M
AT4G30340,Enriched_G2M
AT4G30810,Enriched_G2M
AT4G30280,Enriched_G2M
AT4G30130,Enriched_G2M
AT4G29900,Enriched_G2M
AT4G29220,Enriched_G2M
AT4G29000,Enriched_G2M
AT4G28950,Enriched_G2M
AT4G28820,Enriched_G2M
AT4G28830,Enriched_G2M
AT4G28430,Enriched_G2M
AT4G28450,Enriched_G2M
AT4G28640,Enriched_G2M
AT4G28230,Enriched_G2M
AT4G28300,Enriched_G2M
AT4G28240,Enriched_G2M
AT4G28250,Enriched_G2M
AT4G27940,Enriched_G2M
AT4G27830,Enriched_G2M
AT4G28020,Enriched_G2M
AT4G27600,Enriched_G2M
AT4G27410,Enriched_G2M
AT4G27660,Enriched_G2M
AT4G27370,Enriched_G2M
AT4G26860,Enriched_G2M
AT4G26480,Enriched_G2M
AT4G26600,Enriched_G2M
AT4G26660,Enriched_G2M
AT4G26110,Enriched_G2M
AT4G25880,Enriched_G2M
AT4G24880,Enriched_G2M
AT4G24610,Enriched_G2M
AT4G24240,Enriched_G2M
AT4G23910,Enriched_G2M
AT4G24175,Enriched_G2M
AT4G23570,Enriched_G2M
AT4G23800,Enriched_G2M
AT4G23750,Enriched_G2M
AT4G23540,Enriched_G2M
AT4G23270,Enriched_G2M
AT4G23440,Enriched_G2M
AT4G23510,Enriched_G2M
AT4G22850,Enriched_G2M
AT4G22720,Enriched_G2M
AT4G22820,Enriched_G2M
AT4G22860,Enriched_G2M
AT4G22120,Enriched_G2M
AT4G21820,Enriched_G2M
AT4G21860,Enriched_G2M
AT4G21590,Enriched_G2M
AT4G21270,Enriched_G2M
AT4G20020,Enriched_G2M
AT4G19710,Enriched_G2M
AT4G19130,Enriched_G2M
AT4G19400,Enriched_G2M
AT4G18700,Enriched_G2M
AT4G18570,Enriched_G2M
AT4G18130,Enriched_G2M
AT4G13750,Enriched_G2M
AT4G13330,Enriched_G2M
AT4G12720,Enriched_G2M
AT4G12790,Enriched_G2M
AT4G13070,Enriched_G2M
AT4G13010,Enriched_G2M
AT4G12740,Enriched_G2M
AT4G12420,Enriched_G2M
AT4G12540,Enriched_G2M
AT4G11970,Enriched_G2M
AT4G11640,Enriched_G2M
AT4G11550,Enriched_G2M
AT4G11240,Enriched_G2M
AT4G11080,Enriched_G2M
AT4G10040,Enriched_G2M
AT4G10090,Enriched_G2M
AT4G08950,Enriched_G2M
AT4G08790,Enriched_G2M
AT4G05410,Enriched_G2M
AT4G05520,Enriched_G2M
AT4G05070,Enriched_G2M
AT4G05190,Enriched_G2M
AT4G04940,Enriched_G2M
AT4G04350,Enriched_G2M
AT4G03610,Enriched_G2M
AT4G03100,Enriched_G2M
AT4G03260,Enriched_G2M
AT4G02790,Enriched_G2M
AT4G02820,Enriched_G2M
AT4G02800,Enriched_G2M
AT4G02600,Enriched_G2M
AT4G02390,Enriched_G2M
AT4G02200,Enriched_G2M
AT4G02150,Enriched_G2M
AT4G02020,Enriched_G2M
AT4G02120,Enriched_G2M
AT4G01860,Enriched_G2M
AT4G01960,Enriched_G2M
AT4G01990,Enriched_G2M
AT4G02050,Enriched_G2M
AT4G01730,Enriched_G2M
AT4G00730,Enriched_G2M
AT4G00900,Enriched_G2M
AT4G00690,Enriched_G2M
AT4G00480,Enriched_G2M
AT4G00200,Enriched_G2M
AT1G25560,Enriched_G2M
AT2G33590,Enriched_G2M
AT2G33560,Enriched_G2M
AT2G33430,Enriched_G2M
AT2G40570,Enriched_G2M
AT1G67080,Enriched_G2M
AT2G30320,Enriched_G2M
AT2G30350,Enriched_G2M
AT1G20300,Enriched_G2M
AT1G18040,Enriched_G2M
AT1G22190,Enriched_G2M
AT1G19240,Enriched_G2M
AT1G34160,Enriched_G2M
AT1G34110,Enriched_G2M
AT1G18060,Enriched_G2M
AT1G13750,Enriched_G2M
AT1G18180,Enriched_G2M
AT1G55110,Enriched_G2M
AT1G30090,Enriched_G2M
AT1G50840,Enriched_G2M
